image,class_label
casia/CASIA2/Au/Au_ani_00004.jpg,0
casia/CASIA2/Au/Au_ani_00007.jpg,0
casia/CASIA2/Au/Au_ani_00009.jpg,0
casia/CASIA2/Au/Au_ani_00013.jpg,0
casia/CASIA2/Au/Au_ani_00017.jpg,0
casia/CASIA2/Au/Au_ani_00023.jpg,0
casia/CASIA2/Au/Au_ani_00024.jpg,0
casia/CASIA2/Au/Au_ani_00030.jpg,0
casia/CASIA2/Au/Au_ani_00034.jpg,0
casia/CASIA2/Au/Au_ani_00043.jpg,0
casia/CASIA2/Au/Au_ani_00046.jpg,0
casia/CASIA2/Au/Au_ani_00055.jpg,0
casia/CASIA2/Au/Au_ani_00056.jpg,0
casia/CASIA2/Au/Au_ani_00062.jpg,0
casia/CASIA2/Au/Au_ani_00064.jpg,0
casia/CASIA2/Au/Au_ani_00071.jpg,0
casia/CASIA2/Au/Au_ani_00081.jpg,0
casia/CASIA2/Au/Au_ani_00082.jpg,0
casia/CASIA2/Au/Au_ani_00085.jpg,0
casia/CASIA2/Au/Au_ani_00089.jpg,0
casia/CASIA2/Au/Au_ani_00090.jpg,0
casia/CASIA2/Au/Au_ani_00095.jpg,0
casia/CASIA2/Au/Au_ani_10105.jpg,0
casia/CASIA2/Au/Au_ani_10108.jpg,0
casia/CASIA2/Au/Au_ani_10127.jpg,0
casia/CASIA2/Au/Au_ani_10136.jpg,0
casia/CASIA2/Au/Au_ani_10137.jpg,0
casia/CASIA2/Au/Au_ani_10139.jpg,0
casia/CASIA2/Au/Au_ani_10141.jpg,0
casia/CASIA2/Au/Au_ani_10148.jpg,0
casia/CASIA2/Au/Au_ani_10149.jpg,0
casia/CASIA2/Au/Au_ani_10150.jpg,0
casia/CASIA2/Au/Au_ani_10151.jpg,0
casia/CASIA2/Au/Au_ani_10154.jpg,0
casia/CASIA2/Au/Au_ani_10155.jpg,0
casia/CASIA2/Au/Au_ani_10162.jpg,0
casia/CASIA2/Au/Au_ani_10172.jpg,0
casia/CASIA2/Au/Au_ani_10173.jpg,0
casia/CASIA2/Au/Au_ani_10177.jpg,0
casia/CASIA2/Au/Au_ani_10181.jpg,0
casia/CASIA2/Au/Au_ani_10182.jpg,0
casia/CASIA2/Au/Au_ani_10185.jpg,0
casia/CASIA2/Au/Au_ani_10187.jpg,0
casia/CASIA2/Au/Au_ani_10192.jpg,0
casia/CASIA2/Au/Au_ani_10194.jpg,0
casia/CASIA2/Au/Au_ani_10198.jpg,0
casia/CASIA2/Au/Au_ani_10200.jpg,0
casia/CASIA2/Au/Au_ani_10209.jpg,0
casia/CASIA2/Au/Au_ani_10211.jpg,0
casia/CASIA2/Au/Au_ani_10221.jpg,0
casia/CASIA2/Au/Au_ani_10222.jpg,0
casia/CASIA2/Au/Au_ani_10223.jpg,0
casia/CASIA2/Au/Au_ani_20005.jpg,0
casia/CASIA2/Au/Au_ani_20006.jpg,0
casia/CASIA2/Au/Au_ani_20009.jpg,0
casia/CASIA2/Au/Au_ani_20010.jpg,0
casia/CASIA2/Au/Au_ani_20011.jpg,0
casia/CASIA2/Au/Au_ani_20013.jpg,0
casia/CASIA2/Au/Au_ani_20021.jpg,0
casia/CASIA2/Au/Au_ani_20024.jpg,0
casia/CASIA2/Au/Au_ani_20026.jpg,0
casia/CASIA2/Au/Au_ani_20034.jpg,0
casia/CASIA2/Au/Au_ani_20039.jpg,0
casia/CASIA2/Au/Au_ani_20040.jpg,0
casia/CASIA2/Au/Au_ani_20043.jpg,0
casia/CASIA2/Au/Au_ani_20044.jpg,0
casia/CASIA2/Au/Au_ani_20048.jpg,0
casia/CASIA2/Au/Au_ani_20052.jpg,0
casia/CASIA2/Au/Au_ani_20053.jpg,0
casia/CASIA2/Au/Au_ani_20055.jpg,0
casia/CASIA2/Au/Au_ani_20056.jpg,0
casia/CASIA2/Au/Au_ani_20062.jpg,0
casia/CASIA2/Au/Au_ani_20063.jpg,0
casia/CASIA2/Au/Au_ani_20067.jpg,0
casia/CASIA2/Au/Au_ani_20068.jpg,0
casia/CASIA2/Au/Au_ani_20070.jpg,0
casia/CASIA2/Au/Au_ani_30001.jpg,0
casia/CASIA2/Au/Au_ani_30002.jpg,0
casia/CASIA2/Au/Au_ani_30007.jpg,0
casia/CASIA2/Au/Au_ani_30009.jpg,0
casia/CASIA2/Au/Au_ani_30010.jpg,0
casia/CASIA2/Au/Au_ani_30012.jpg,0
casia/CASIA2/Au/Au_ani_30015.jpg,0
casia/CASIA2/Au/Au_ani_30016.jpg,0
casia/CASIA2/Au/Au_ani_30025.jpg,0
casia/CASIA2/Au/Au_ani_30030.jpg,0
casia/CASIA2/Au/Au_ani_30032.jpg,0
casia/CASIA2/Au/Au_ani_30033.jpg,0
casia/CASIA2/Au/Au_ani_30034.jpg,0
casia/CASIA2/Au/Au_ani_30040.jpg,0
casia/CASIA2/Au/Au_ani_30045.jpg,0
casia/CASIA2/Au/Au_ani_30046.jpg,0
casia/CASIA2/Au/Au_ani_30048.jpg,0
casia/CASIA2/Au/Au_ani_30051.jpg,0
casia/CASIA2/Au/Au_ani_30055.jpg,0
casia/CASIA2/Au/Au_ani_30061.jpg,0
casia/CASIA2/Au/Au_ani_30063.jpg,0
casia/CASIA2/Au/Au_ani_30064.jpg,0
casia/CASIA2/Au/Au_ani_30068.jpg,0
casia/CASIA2/Au/Au_ani_30069.jpg,0
casia/CASIA2/Au/Au_ani_30072.jpg,0
casia/CASIA2/Au/Au_ani_30074.jpg,0
casia/CASIA2/Au/Au_ani_30077.jpg,0
casia/CASIA2/Au/Au_ani_30082.jpg,0
casia/CASIA2/Au/Au_ani_30090.jpg,0
casia/CASIA2/Au/Au_ani_30091.jpg,0
casia/CASIA2/Au/Au_ani_30095.jpg,0
casia/CASIA2/Au/Au_ani_30103.jpg,0
